#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:01Z,252,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:06Z,149,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:11Z,157,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:16Z,203,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:21Z,260,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:26Z,259,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:32Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:37Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:42Z,259,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:47Z,259,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:52Z,260,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:07:57Z,260,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:02Z,259,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:07Z,259,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:12Z,256,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:17Z,256,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:22Z,257,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:27Z,259,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:32Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:37Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:42Z,260,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:47Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:52Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:08:57Z,258,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:02Z,257,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:07Z,255,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:12Z,257,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:17Z,256,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:22Z,255,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:27Z,251,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:32Z,250,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:37Z,249,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:42Z,254,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:47Z,255,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:52Z,255,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:09:57Z,254,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:02Z,150,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:07Z,140,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:12Z,153,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:17Z,145,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:22Z,144,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:27Z,144,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:32Z,143,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:37Z,139,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:42Z,142,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:47Z,145,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:52Z,146,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:10:58Z,150,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:02Z,151,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:07Z,148,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:12Z,142,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:17Z,144,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:22Z,147,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:27Z,152,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:32Z,158,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:37Z,162,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:42Z,160,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:48Z,162,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:53Z,162,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:11:58Z,164,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:03Z,161,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:08Z,160,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:13Z,160,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:18Z,161,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:23Z,162,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:28Z,162,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:33Z,163,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:38Z,162,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:43Z,161,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:48Z,182,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:53Z,140,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:12:58Z,147,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:03Z,133,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:08Z,138,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:13Z,139,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:18Z,139,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:23Z,133,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:28Z,139,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:33Z,133,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:38Z,136,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:43Z,132,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:48Z,135,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:53Z,99,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:13:58Z,151,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:03Z,154,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:08Z,154,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:13Z,155,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:18Z,155,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:23Z,152,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:28Z,150,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:33Z,151,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:38Z,123,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:43Z,107,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:48Z,115,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:53Z,111,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:14:58Z,111,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:03Z,109,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:08Z,109,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:13Z,109,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:18Z,106,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:23Z,105,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:28Z,105,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:33Z,105,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:39Z,107,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:43Z,106,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:48Z,106,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:53Z,108,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:15:58Z,107,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:03Z,105,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:08Z,104,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:13Z,105,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:18Z,105,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:24Z,103,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:29Z,102,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:34Z,231,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:39Z,241,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:44Z,177,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:49Z,182,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:54Z,164,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:16:59Z,163,brightness,environment,oxocard01
,,0,2026-09-20T10:03:29.614547797Z,2026-09-20T10:33:29.614547797Z,2026-09-20T10:17:04Z,179,brightness,environment,oxocard01
